SL.NO   Token           Lexeme              Line_no
821     |               Special_op          82    
822     |               Special_op          82    
823     ch              Identifier          82    
824     ==              Relational_op       82    
825     '               Special_op          82    
826     %               Special_op          82    
827     '               Special_op          82    
828     |               Special_op          82    
829     |               Special_op          82    
830     ch              Identifier          83    
831     ==              Relational_op       83    
832     '               Special_op          83    
833     |               Special_op          83    
834     '               Special_op          83    
835     |               Special_op          83    
836     |               Special_op          83    
837     ch              Identifier          83    
838     ==              Relational_op       83    
839     '               Special_op          83    
840     \               Special_op          83    
841     \               Special_op          83    
842     '               Special_op          83    
843     |               Special_op          83    
844     |               Special_op          83    
845     ch              Identifier          83    
846     ==              Relational_op       83    
847     '               Special_op          83    
848     &               Special_op          83    
849     '               Special_op          83    
850     )               Close_bracket       83    
851     {               Open_bracket        84    
852     display         Identifier          85    
853     _               Special_op          85    
854     lexemes         Identifier          85    
855     (               Open_bracket        85    
856     sl              Identifier          85    
857     _               Special_op          85    
858     number          Identifier          85    
859     ,               Special_op          85    
860     ch              Identifier          85    
861     ,               Special_op          85    
862     "               Special_op          85    
863     Special         Identifier          85    
864     _               Special_op          85    
865     op              Identifier          85    
866     "               Special_op          85    
867     ,               Special_op          85    
868     line            Identifier          85    
869     _               Special_op          85    
870     number          Identifier          85    
871     ,               Special_op          85    
872     out             Identifier          85    
873     )               Close_bracket       85    
874     ;               Semicolon           85    
875     }               Close_bracket       86    
876     else            Keyword             87    
877     if              Keyword             87    
878     (               Open_bracket        87    
879     ch              Identifier          87    
880     ==              Relational_op       87    
881     '               Special_op          87    
882     <               Relational_op       87    
883     '               Special_op          87    
884     |               Special_op          87    
885     |               Special_op          87    
886     ch              Identifier          87    
887     ==              Relational_op       87    
888     '               Special_op          87    
889     >               Relational_op       87    
890     '               Special_op          87    
891     |               Special_op          87    
892     |               Special_op          87    
893     ch              Identifier          87    
894     ==              Relational_op       87    
895     '               Special_op          87    
896     !               Relational_op       87    
897     '               Special_op          87    
898     )               Close_bracket       87    
899     {               Open_bracket        88    
900     lexemes         Identifier          89    
901     [               Open_bracket        89    
902     i               Identifier          89    
903     +               Arithmetic_op       89    
904     +               Arithmetic_op       89    
905     ]               Close_bracket       89    
906     =               Assignment_op       89    
907     (               Open_bracket        89    
908     char            Keyword             89    
909     )               Close_bracket       89    
910     ch              Identifier          89    
911     ;               Semicolon           89    
912     next            Identifier          90    
913     =               Assignment_op       90    
914     fgetc           Keyword             90    
915     (               Open_bracket        90    
916     in              Identifier          90    
917     )               Close_bracket       90    
918     ;               Semicolon           90    
919     if              Keyword             91    
920     (               Open_bracket        91    
921     next            Identifier          91    
922     ==              Relational_op       91    
923     '               Special_op          91    
924     =               Assignment_op       91    
925     '               Special_op          91    
926     )               Close_bracket       91    
927     lexemes         Identifier          92    
928     [               Open_bracket        92    
929     i               Identifier          92    
930     +               Arithmetic_op       92    
931     +               Arithmetic_op       92    
932     ]               Close_bracket       92    
933     =               Assignment_op       92    
934     next            Identifier          92    
935     ;               Semicolon           92    
936     else            Keyword             93    
937     if              Keyword             93    
938     (               Open_bracket        93    
939     next            Identifier          93    
940     !=              Relational_op       93    
941     EOF             Identifier          93    
942     )               Close_bracket       93    
943     ungetc          Keyword             94    
944     (               Open_bracket        94    
945     next            Identifier          94    
946     ,               Special_op          94    
947     in              Identifier          94    
948     )               Close_bracket       94    
949     ;               Semicolon           94    
950     lexemes         Identifier          95    
951     [               Open_bracket        95    
952     i               Identifier          95    
953     ]               Close_bracket       95    
954     =               Assignment_op       95    
955     '               Special_op          95    
956     \               Special_op          95    
957     0               Number              95    
958     '               Special_op          95    
959     ;               Semicolon           95    
960     display         Identifier          96    
961     _               Special_op          96    
962     lexemes         Identifier          96    
963     _               Special_op          96    
964     string          Identifier          96    
965     (               Open_bracket        96    
966     sl              Identifier          96    
967     _               Special_op          96    
968     number          Identifier          96    
969     ,               Special_op          96    
970     lexemes         Identifier          96    
971     ,               Special_op          96    
972     "               Special_op          96    
973     Relational      Identifier          96    
974     _               Special_op          96    
975     op              Identifier          96    
976     "               Special_op          96    
977     ,               Special_op          96    
978     line            Identifier          96    
979     _               Special_op          96    
980     number          Identifier          96    
981     ,               Special_op          96    
982     out             Identifier          96    
983     )               Close_bracket       96    
984     ;               Semicolon           96    
985     }               Close_bracket       97    
986     else            Keyword             98    
987     if              Keyword             98    
988     (               Open_bracket        98    
989     ch              Identifier          98    
990     ==              Relational_op       98    
991     '               Special_op          98    
992     =               Assignment_op       98    
993     '               Special_op          98    
994     )               Close_bracket       98    
995     {               Open_bracket        99    
996     lexemes         Identifier          100   
997     [               Open_bracket        100   
998     i               Identifier          100   
999     +               Arithmetic_op       100   
1000    +               Arithmetic_op       100   
1001    ]               Close_bracket       100   
1002    =               Assignment_op       100   
1003    (               Open_bracket        100   
1004    char            Keyword             100   
1005    )               Close_bracket       100   
1006    ch              Identifier          100   
1007    ;               Semicolon           100   
1008    next            Identifier          101   
1009    =               Assignment_op       101   
1010    fgetc           Keyword             101   
1011    (               Open_bracket        101   
1012    in              Identifier          101   
1013    )               Close_bracket       101   
1014    ;               Semicolon           101   
1015    if              Keyword             102   
1016    (               Open_bracket        102   
1017    next            Identifier          102   
1018    ==              Relational_op       102   
1019    '               Special_op          102   
1020    =               Assignment_op       102   
1021    '               Special_op          102   
1022    )               Close_bracket       102   
1023    {               Open_bracket        103   
1024    lexemes         Identifier          104   
1025    [               Open_bracket        104   
1026    i               Identifier          104   
1027    +               Arithmetic_op       104   
1028    +               Arithmetic_op       104   
1029    ]               Close_bracket       104   
1030    =               Assignment_op       104   
1031    next            Identifier          104   
1032    ;               Semicolon           104   
1033    lexemes         Identifier          105   
1034    [               Open_bracket        105   
1035    i               Identifier          105   
1036    ]               Close_bracket       105   
1037    =               Assignment_op       105   
1038    '               Special_op          105   
1039    \               Special_op          105   
1040    0               Number              105   
1041    '               Special_op          105   
1042    ;               Semicolon           105   
1043    display         Identifier          106   
1044    _               Special_op          106   
1045    lexemes         Identifier          106   
1046    _               Special_op          106   
1047    string          Identifier          106   
1048    (               Open_bracket        106   
1049    sl              Identifier          106   
1050    _               Special_op          106   
1051    number          Identifier          106   
1052    ,               Special_op          106   
1053    lexemes         Identifier          106   
1054    ,               Special_op          106   
1055    "               Special_op          106   
1056    Relational      Identifier          106   
1057    _               Special_op          106   
1058    op              Identifier          106   
1059    "               Special_op          106   
1060    ,               Special_op          106   
1061    line            Identifier          106   
1062    _               Special_op          106   
1063    number          Identifier          106   
1064    ,               Special_op          106   
1065    out             Identifier          106   
1066    )               Close_bracket       106   
1067    ;               Semicolon           106   
1068    sl              Identifier          107   
1069    _               Special_op          107   
1070    number          Identifier          107   
1071    +               Arithmetic_op       107   
